# unstructured grid for a domain
#
# no. of nodes cells and boundaries
833     768     1
# BC
0   128   128
# node coordinates
0.00000000000e+00 0.00000000000e+00
5.00000000000e-01 0.00000000000e+00
1.00000000000e+00 0.00000000000e+00
0.00000000000e+00 5.00000000000e-01
5.00000000000e-01 5.00000000000e-01
1.00000000000e+00 5.00000000000e-01
0.00000000000e+00 1.00000000000e+00
5.00000000000e-01 1.00000000000e+00
1.00000000000e+00 1.00000000000e+00
2.50000000000e-01 1.50000000000e+00
7.50000000000e-01 1.50000000000e+00
5.00000000000e-01 2.00000000000e+00
1.50000000000e+00 2.50000000000e-01
1.50000000000e+00 7.50000000000e-01
2.00000000000e+00 5.00000000000e-01
1.25000000000e-01 1.25000000000e+00
8.75000000000e-01 1.25000000000e+00
1.25000000000e+00 8.75000000000e-01
1.25000000000e+00 1.25000000000e-01
5.00000000000e-01 1.50000000000e+00
1.50000000000e+00 5.00000000000e-01
2.50000000000e-01 0.00000000000e+00
5.00000000000e-01 2.50000000000e-01
2.50000000000e-01 5.00000000000e-01
0.00000000000e+00 2.50000000000e-01
7.50000000000e-01 0.00000000000e+00
1.00000000000e+00 2.50000000000e-01
7.50000000000e-01 5.00000000000e-01
5.00000000000e-01 7.50000000000e-01
2.50000000000e-01 1.00000000000e+00
0.00000000000e+00 7.50000000000e-01
1.00000000000e+00 7.50000000000e-01
7.50000000000e-01 1.00000000000e+00
3.75000000000e-01 1.25000000000e+00
1.87500000000e-01 1.37500000000e+00
6.25000000000e-02 1.12500000000e+00
9.37500000000e-01 1.12500000000e+00
8.12500000000e-01 1.37500000000e+00
6.25000000000e-01 1.25000000000e+00
6.25000000000e-01 1.50000000000e+00
3.75000000000e-01 1.50000000000e+00
3.75000000000e-01 1.75000000000e+00
6.25000000000e-01 1.75000000000e+00
1.12500000000e+00 6.25000000000e-02
1.37500000000e+00 1.87500000000e-01
1.25000000000e+00 3.75000000000e-01
1.50000000000e+00 3.75000000000e-01
1.50000000000e+00 6.25000000000e-01
1.25000000000e+00 6.25000000000e-01
1.37500000000e+00 8.12500000000e-01
1.12500000000e+00 9.37500000000e-01
1.75000000000e+00 6.25000000000e-01
1.75000000000e+00 3.75000000000e-01
2.50000000000e-01 2.50000000000e-01
7.50000000000e-01 2.50000000000e-01
2.50000000000e-01 7.50000000000e-01
7.50000000000e-01 7.50000000000e-01
3.12500000000e-01 1.12500000000e+00
6.87500000000e-01 1.12500000000e+00
5.00000000000e-01 1.25000000000e+00
5.00000000000e-01 1.75000000000e+00
1.12500000000e+00 3.12500000000e-01
1.25000000000e+00 5.00000000000e-01
1.12500000000e+00 6.87500000000e-01
1.75000000000e+00 5.00000000000e-01
1.25000000000e-01 0.00000000000e+00
2.50000000000e-01 1.25000000000e-01
1.25000000000e-01 2.50000000000e-01
0.00000000000e+00 1.25000000000e-01
3.75000000000e-01 0.00000000000e+00
5.00000000000e-01 1.25000000000e-01
3.75000000000e-01 2.50000000000e-01
2.50000000000e-01 3.75000000000e-01
1.25000000000e-01 5.00000000000e-01
